#{"t_start": 1745764413.4228628, "env_id": "None"}
r,l,t
-1908453.068311,15532,171.312156
-1908453.068311,15532,340.967856
-1908453.068311,15532,510.664023
-1908453.068311,15532,680.12568
-1908453.068311,15532,847.845671
-1908453.068311,15532,1017.109292
-1908453.068311,15532,1185.987376
-1908453.068311,15532,1355.599056
-1908453.068311,15532,1527.38917
-1908453.068311,15532,1697.338506
-1908453.068311,15532,1867.069184
-1908453.068311,15532,2035.955128
-1908453.068311,15532,2205.33173
-1908453.068311,15532,2374.646065
-1908453.068311,15532,2544.156265
-1908453.068311,15532,2712.152984
-1908453.068311,15532,2881.407422
-1908453.068311,15532,3053.720566
-1908453.068311,15532,3221.838646
-1908453.068311,15532,3391.269269
-1908453.068311,15532,3564.141574
-1908453.068311,15532,3768.556749
-1908453.068311,15532,3957.852095
-1908453.068311,15532,4126.663886
-1908453.068311,15532,4296.642642
-1908453.068311,15532,4478.895599
-1908453.068311,15532,4680.17036
-1908453.068311,15532,4854.924283
-1908453.068311,15532,5018.421031
-1908453.068311,15532,5183.260575
-1908453.068311,15532,5346.326452
-1908453.068311,15532,5508.577854
-1908453.068311,15532,5670.777625
-1908453.068311,15532,5832.626575
-1908453.068311,15532,5996.910078
-1908453.068311,15532,6159.838097
-1908453.068311,15532,6322.216825
-1908453.068311,15532,6484.331355
-1908453.068311,15532,6647.964686
-1908453.068311,15532,6810.371085
-1908453.068311,15532,6973.449051
-1908453.068311,15532,7135.399925
-1908453.068311,15532,7297.785796
-1908453.068311,15532,7459.678407
-1908453.068311,15532,7621.712257
-1908453.068311,15532,7784.080593
-1908453.068311,15532,7945.997932
-1908453.068311,15532,8108.085541
