#{"t_start": 1745772721.5159748, "env_id": "None"}
r,l,t
-1908453.068311,15532,177.977692
-1908453.068311,15532,350.562038
-1908453.068311,15532,542.392013
-1908453.068311,15532,713.397547
-1908453.068311,15532,864.561475
-1908453.068311,15532,1015.956196
-1908453.068311,15532,1167.824353
-1908453.068311,15532,1319.458582
-1908453.068311,15532,1470.162172
-1908453.068311,15532,1620.949828
-1908453.068311,15532,1771.97344
-1908453.068311,15532,1922.878839
-1908453.068311,15532,2073.817689
-1908453.068311,15532,2223.191708
-1908453.068311,15532,2372.344422
-1908453.068311,15532,2522.274702
-1908453.068311,15532,2671.201043
-1908453.068311,15532,2821.298667
-1908453.068311,15532,2971.266349
-1908453.068311,15532,3121.738069
-1908453.068311,15532,3270.852444
-1908453.068311,15532,3420.45906
-1908453.068311,15532,3568.97421
-1908453.068311,15532,3718.652604
-1908453.068311,15532,3867.908062
-1908453.068311,15532,4019.234332
-1908453.068311,15532,4168.439822
-1908453.068311,15532,4317.497451
-1908453.068311,15532,4467.964373
-1908453.068311,15532,4617.520366
-1908453.068311,15532,4766.782877
-1908453.068311,15532,4916.457805
-1908453.068311,15532,5065.873329
-1908453.068311,15532,5214.925093
-1908453.068311,15532,5364.272275
-1908453.068311,15532,5538.962957
-1908453.068311,15532,5695.160082
-1908453.068311,15532,5840.746251
-1908453.068311,15532,5984.775711
-1908453.068311,15532,6128.558712
-1908453.068311,15532,6271.674365
-1908453.068311,15532,6414.405924
-1908453.068311,15532,6557.241179
-1908453.068311,15532,6700.467765
-1908453.068311,15532,6843.001479
-1908453.068311,15532,6984.996327
-1908453.068311,15532,7127.07495
-1908453.068311,15532,7268.892813
